Numero,Estado,Tiempo de Ejecución (us)
167254737528293,OK,1555667
250160597777689,OK,2387878
272817786389021,OK,2527439
273204951552131,OK,2492009
264076256253743,OK,2413556
256501147719209,OK,2564658
280375816749001,OK,2103395
268143189193409,OK,2006977
256172670804007,OK,1949542
162846432324041,OK,1559941
242704777142357,OK,1802050
264145147672837,OK,1940408
272188915931311,OK,2023637
279347304554039,OK,2099149
148373795122297,OK,1115405
233410932389023,OK,1872555
228623138202581,OK,1713237
191560169816749,OK,1606888
273640257540371,OK,2002329
241183547252519,OK,1854383
263376098657807,OK,1923771
142624092406141,OK,1025701
279757391409031,OK,2045798
155135330680613,OK,1114909
246393110926037,OK,1812835
144307274128253,OK,1029996
212832228282061,OK,1547804
211001397326077,OK,1606686
212097570014299,OK,1562243
147890671559443,OK,1083085
272679489240971,OK,1986969
211536571255967,OK,1548069
280655702445031,OK,2064999
278933626629253,OK,2031533
152950890397831,OK,1160503
222344211242173,OK,1675965
272941045991641,OK,1979995
140665547807593,OK,1021994
212234463725897,OK,1568818
212113796461783,OK,1541641
280653425066431,OK,2078616
140802357626327,OK,1021881
278186897639423,OK,2061507
243103155604217,OK,1794666
281474641166387,OK,2080275
271664634524641,OK,1993214
280401468146203,OK,2046765
246279525360923,OK,1822275
280315970217593,OK,2051970
219280730607859,OK,1597506
213175737778123,OK,1557279
247970311803127,OK,1831680
247398382407937,OK,1830982
279350139979541,OK,2081258
279148340572681,OK,2041855
207597316176409,OK,1532906
263013352070401,OK,1953134
211690436893207,OK,1557753
246298060558013,OK,1830516
260393199967163,OK,1934444
239925947924011,OK,1802714
262349881016591,OK,1932122
273152888470963,OK,2070686
143935186255039,OK,1049089
281406391463903,OK,2047105
281436490297097,OK,2101152
148121032436639,OK,1148385
163288421938571,OK,1581341
281472963445087,OK,2123291
133079062292591,OK,1048477
142607969669897,OK,1068519
263874602245291,OK,1949008
145410143953037,OK,1119274
279412220093317,OK,2032582
255793016256787,OK,1930296
208771149431203,OK,1578147
259753223683781,OK,1915785
278742179808823,OK,2037514
277592374405121,OK,2035461
273599558112557,OK,2010515
221975991262477,OK,1819372
172145702197817,OK,1270921
281338409820547,OK,2038386
260603829702257,OK,1937237
