Numero,Estado,Tiempo de Ejecución (us)
37837,OK,2
53743,OK,1
42919,OK,1
46031,OK,1
34571,OK,1
37837,OK,1
39407,OK,1
40913,OK,1
36581,OK,1
43039,OK,1
40991,OK,1
41693,OK,1
46003,OK,1
41917,OK,1
52961,OK,1
57311,OK,1
37627,OK,1
39271,OK,1
38579,OK,1
47053,OK,1
60491,OK,1
33667,OK,0
29353,OK,1
57311,OK,1
48319,OK,1
28417,OK,1
37001,OK,1
52961,OK,1
41917,OK,1
35611,OK,0
36581,OK,0
49601,OK,1
43811,OK,1
46031,OK,1
46517,OK,1
24883,OK,1
23393,OK,2
50851,OK,2
39407,OK,1
64507,OK,2
38579,OK,1
37837,OK,0
55973,OK,1
28459,OK,0
36503,OK,0
28103,OK,0
43357,OK,0
35639,OK,0
58853,OK,1
64507,OK,1
46517,OK,0
35183,OK,0
35011,OK,0
57479,OK,1
47897,OK,0
25777,OK,0
35639,OK,0
40301,OK,0
27641,OK,0
23393,OK,1
31439,OK,0
61937,OK,1
64507,OK,1
36581,OK,0
38191,OK,0
29987,OK,0
59989,OK,1
28459,OK,0
34571,OK,0
36503,OK,1
51983,OK,1
39407,OK,0
50851,OK,1
57311,OK,1
52961,OK,1
43931,OK,1
50629,OK,1
41989,OK,0
54227,OK,1
28459,OK,0
39407,OK,0
58339,OK,1
52961,OK,0
31439,OK,0
27161,OK,0
47053,OK,1
55973,OK,6
50629,OK,1
58339,OK,1
64507,OK,1
57311,OK,1
33043,OK,1
31439,OK,0
33227,OK,0
26219,OK,0
34387,OK,0
28907,OK,0
35237,OK,0
31861,OK,0
40349,OK,0
41347,OK,0
43931,OK,1
44461,OK,1
33227,OK,0
33127,OK,0
28103,OK,0
33673,OK,0
35237,OK,0
40349,OK,0
33227,OK,0
39617,OK,0
54227,OK,7
30929,OK,0
33127,OK,0
47941,OK,0
54227,OK,1
33823,OK,0
64507,OK,1
36581,OK,0
40723,OK,0
52891,OK,1
40301,OK,1
29893,OK,1
57311,OK,1
28907,OK,0
31897,OK,0
64507,OK,1
29747,OK,0
28907,OK,0
47897,OK,1
31861,OK,0
54227,OK,0
33127,OK,0
43039,OK,0
41567,OK,1
31553,OK,1
33127,OK,1
37901,OK,2
37241,OK,1
20687,OK,0
25777,OK,0
37769,OK,1
47053,OK,1
35209,OK,1
58483,OK,1
39617,OK,1
54227,OK,1
27641,OK,1
37399,OK,1
40363,OK,2
48443,OK,1
33127,OK,1
50629,OK,1
37523,OK,1
34121,OK,1
64507,OK,1
47053,OK,2
31861,OK,1
35639,OK,1
38579,OK,1
47053,OK,1
28891,OK,0
52961,OK,1
54227,OK,1
47053,OK,1
49163,OK,0
47053,OK,1
29987,OK,0
33667,OK,0
35611,OK,0
31861,OK,0
22331,OK,0
47053,OK,1
41917,OK,0
40349,OK,0
51067,OK,1
40247,OK,1
55973,OK,1
35953,OK,0
54707,OK,1
28103,OK,0
55973,OK,1
27161,OK,0
49447,OK,0
39917,OK,1
47053,OK,1
37769,OK,0
40301,OK,0
47941,OK,1
35953,OK,0
53743,OK,1
33127,OK,0
24883,OK,0
57311,OK,1
31439,OK,0
38293,OK,0
57311,OK,1
61937,OK,1
30301,OK,0
56977,OK,1
24797,OK,0
57311,OK,1
42919,OK,0
35209,OK,0
37399,OK,0
47477,OK,0
32399,OK,0
35011,OK,0
48319,OK,1
40349,OK,0
46003,OK,0
47897,OK,0
48443,OK,1
55973,OK,1
37001,OK,2
43931,OK,1
26671,OK,0
40349,OK,0
59989,OK,1
33227,OK,0
57311,OK,1
30551,OK,0
35209,OK,0
41707,OK,0
44377,OK,1
40913,OK,0
48319,OK,1
40723,OK,1
54227,OK,1
40991,OK,1
47053,OK,1
53743,OK,1
54707,OK,1
53297,OK,1
54253,OK,1
54227,OK,1
29893,OK,0
24523,OK,1
41567,OK,1
54227,OK,1
30227,OK,1
38293,OK,1
54227,OK,1
48319,OK,1
58339,OK,1
17947,OK,0
43423,OK,1
52961,OK,1
23393,OK,1
20413,OK,1
52961,OK,2
41567,OK,1
49163,OK,1
41917,OK,1
31439,OK,1
58339,OK,1
31439,OK,1
26167,OK,1
35909,OK,1
20567,OK,1
54707,OK,1
47053,OK,2
21509,OK,1
35011,OK,1
50621,OK,9
55973,OK,1
49163,OK,0
38191,OK,0
28891,OK,1
44929,OK,1
30929,OK,1
61423,OK,2
35909,OK,1
35011,OK,1
58853,OK,1
29353,OK,1
40363,OK,1
31861,OK,0
41917,OK,0
29651,OK,0
47941,OK,0
47053,OK,0
50851,OK,0
26123,OK,0
58339,OK,1
47941,OK,0
53743,OK,0
60491,OK,1
57311,OK,1
37627,OK,0
52961,OK,0
35011,OK,0
48443,OK,0
54227,OK,1
40301,OK,1
55973,OK,1
40363,OK,1
34579,OK,1
33127,OK,1
29177,OK,1
52961,OK,1
58339,OK,1
64507,OK,1
58339,OK,1
33127,OK,0
50621,OK,1
48319,OK,1
37769,OK,0
47053,OK,1
48319,OK,1
42593,OK,1
37241,OK,0
50429,OK,1
55973,OK,1
54227,OK,1
39917,OK,1
55973,OK,1
47053,OK,1
55189,OK,1
64507,OK,1
17947,OK,1
37523,OK,1
46003,OK,1
31439,OK,1
36349,OK,1
55973,OK,1
35209,OK,1
47053,OK,2
33673,OK,1
37399,OK,0
60491,OK,1
27161,OK,0
60491,OK,1
50851,OK,1
39917,OK,0
53743,OK,1
35237,OK,0
55973,OK,1
21509,OK,0
47053,OK,1
48319,OK,1
52961,OK,1
24883,OK,3
