Numero,Estado,Tiempo de Ejecución (us),Tiempo de Exploración (us),Tiempo de Divisibilidad (us)
13831680479034605771,OK,14,0,1
13294648149263216369,OK,24651385,6765113,54760
16094681482855223543,OK,284016,1566,2201
9114170955273487157,OK,648155,6151,3165
10412255735130380003,OK,18018047,7518209,25387
17298183317697644041,OK,35365333,24427262,22446
8674631727218707751,OK,90487,573,402
18151899482490177407,OK,15507,262,27
8713542856975390867,OK,744879,6639,3143
13978879356019942283,OK,14125386,651293,44458
8573333838793733509,OK,107570,1315,493
13772203159552092973,OK,8300510,221310,27833
17102397730163218387,OK,8619236,623612,25176
17747366961084111943,OK,2232151,41855,7531
9490742607328042909,OK,13659845,13206916,785
16077881560040304149,OK,194197,1348,1100
9209589241827100051,OK,4156232,96115,13373
12376326823348842271,OK,495972,5590,2158
18445618380015873583,OK,34659335,4070943,77803
18163077052185210329,OK,31761843,28425372,5418
9230128806624008021,OK,1567,8,7
16130595358434344017,OK,1990400,747988,2651
18193962040874592631,OK,42971394,16554730,61577
8710314818921695061,OK,6781941,192112,25925
18265788699538508483,OK,392832,2995,2184
17865921728529572591,OK,22158,85,223
18375247779907337899,OK,42216334,10977511,101843
14365978553171565427,OK,34573303,7427253,89809
17474715845343119333,OK,4033866,83332,14737
18428817729994788869,OK,11552711,334733,52871
17017395883320630437,OK,2081159,61281,12877
9259123776395754451,OK,13528342,2711181,60778
15982946013132553219,OK,8810710,699629,36777
18372464842413458417,OK,23373111,7828498,50868
17159097029235629161,OK,3468,21,8
13628190061578407951,OK,3080,31,7
18336279155362398757,OK,6871033,3139187,10837
18391838844102381347,OK,30338420,10134024,98249
13843384588547406859,OK,14200492,815301,92140
9179608201650853259,OK,3812904,287661,21136
8918792348282675501,OK,431749,3275,2157
17874637498022565089,OK,33547062,5659054,150681
18158205997441671559,OK,747046,7840,4262
17868048544457630083,OK,3652157,78259,12366
18143030789170977331,OK,27961667,4152454,64784
14247511591386578327,OK,29322,123,184
17302827058063303459,OK,26276406,12875478,28143
13852541913884356409,OK,2969091,175666,42416
18147200354262945887,OK,11123519,360383,91380
18162874600200365159,OK,38700348,14065365,69597
16049925200613093403,OK,822401,7078,3605
18427042697754042811,OK,30609530,23684988,14848
16140844136297321737,OK,29191,163,219
9727883024276173223,OK,11519749,866366,33275
18375672371986336021,OK,8004248,494396,19593
8641437636313586077,OK,1352763,26510,8622
17842031673990342503,OK,80707,622,1361
17390721730357274251,OK,351783,3949,2719
17260148685831914833,OK,37889,853,459
17230766933816583737,OK,73868,1266,780
9479374067927902837,OK,192091,1367,1563
13729110057897274987,OK,58010,673,595
17302672734631539169,OK,5152102,138818,31636
15132888268336518959,OK,17443011,1536899,96030
18176387976110049167,OK,27171382,2123719,124029
15890855349091239007,OK,3230157,135991,35396
10300839707566789517,OK,25523798,5934236,90435
18433247727596659781,OK,23805714,3307957,51990
12096691909211868859,OK,8311822,3928425,8856
13850633973248571407,OK,19137223,7465305,28712
18446181175296393131,OK,39442789,6889570,126047
17865988921173752789,OK,1281232,17009,5750
13871467007639736689,OK,17133673,17076590,287
10592473272899669057,OK,455,15,0
18166558944193915999,OK,608001,75517,1250
16794679721613160063,OK,21961478,8139436,35489
18298439264927906993,OK,188136,1115,1623
18152140675375512653,OK,26248341,16340123,23145
14897241371186438197,OK,22038783,2613837,54026
17298057407857846897,OK,476798,337538,583
17817667740112340141,OK,26064810,3890300,49218
18284892749016693287,OK,96586,647,550
16139933752496738731,OK,606,1,7
15194225493832277573,OK,10085969,828193,15685
18356890688363854073,OK,34637563,12142677,30966
18306364845021536539,OK,32777918,21187627,13275
18445371856889995033,OK,11761027,11348566,473
17298055262220243349,OK,2702283,21183,6135
15540486968424572543,OK,27644659,7249647,56345
13970250326720879927,OK,33256669,7215337,105015
13901531044474624081,OK,298168,2715,2429
13638066990488627299,OK,15914174,968541,98509
17298045777422383867,OK,1095144,9347,5993
18393305782975367011,OK,33514272,21038975,70799
14358578553134460559,OK,16915870,2979634,66650
18374798150201298593,OK,8927040,960312,36004
13809212875837652789,OK,89,1,1
9151870917740821889,OK,1,0,0
18410575432429112143,OK,45066409,17487072,78430
17229915847893895189,OK,3232930,235452,9268
16212691258108783043,OK,9162648,1086167,19666
9647129406734796049,OK,2092265,160733,17483
17350051105397616161,OK,15673784,2089477,48804
16235764160587040983,OK,20092613,1399379,57022
17622376799926928269,OK,5445201,115139,18610
9213346330640486929,OK,792914,3896,3309
9155612593446396523,OK,22481989,4591946,57841
18158784536218681171,OK,1850654,72842,10527
13943365054625438689,OK,454552,5532,2341
17294121633314701213,OK,5710585,2032700,10807
17260113777337030133,OK,344,1,0
16807908862404021949,OK,9414038,646037,72480
18026020506474536981,OK,9161583,253364,68845
17025552691316824069,OK,255757,2707,2074
18411667490482202569,OK,29266784,25688234,12292
16212477011660818963,OK,1386421,18907,8869
16681527471902331413,OK,36217791,7355656,158628
17874778580872865237,OK,3724121,1007578,11917
18087751378620173399,OK,14192435,13863547,593
16150052888156441633,OK,16589387,10363304,12766
9223127984285905253,OK,604,12,9
17294816514993813283,OK,993575,6498,2983
10348240470631507673,OK,9322372,1509943,21266
17801265951320171261,OK,2741994,79406,10518
14392694103075534361,OK,10645936,460881,38226
17004588997367483891,OK,5767051,4647180,2308
11285606008258779893,OK,12441882,849741,34311
18410717904824653481,OK,16827886,12109370,12061
