Numero,Estado,Tiempo de Ejecución (us)
13831680479034605771,OK,12445939
13294648149263216369,OK,12663371
16094681482855223543,OK,14692418
9114170955273487157,OK,8220732
10412255735130380003,OK,10217512
17298183317697644041,OK,15434950
8674631727218707751,OK,8234423
18151899482490177407,OK,16217599
8713542856975390867,OK,8292754
13978879356019942283,OK,12510679
8573333838793733509,OK,8720030
13772203159552092973,OK,12280677
17102397730163218387,OK,15379368
17747366961084111943,OK,15935638
9490742607328042909,OK,8669908
16077881560040304149,OK,14496458
9209589241827100051,OK,8271411
12376326823348842271,OK,12598916
18445618380015873583,OK,16748075
18163077052185210329,OK,16851933
9230128806624008021,OK,8498560
16130595358434344017,OK,14904117
18193962040874592631,OK,16460555
8710314818921695061,OK,8291002
18265788699538508483,OK,16307837
17865921728529572591,OK,16080246
18375247779907337899,OK,16528114
14365978553171565427,OK,12871708
17474715845343119333,OK,15846045
18428817729994788869,OK,16661922
17017395883320630437,OK,15617060
9259123776395754451,OK,8316232
15982946013132553219,OK,14447505
18372464842413458417,OK,16426107
17159097029235629161,OK,15454511
13628190061578407951,OK,13368219
18336279155362398757,OK,17154854
18391838844102381347,OK,16829387
13843384588547406859,OK,12282758
9179608201650853259,OK,8730372
8918792348282675501,OK,8474253
17874637498022565089,OK,15863682
18158205997441671559,OK,16191184
17868048544457630083,OK,16163173
18143030789170977331,OK,53158018
14247511591386578327,OK,21936224
17302827058063303459,OK,15373513
13852541913884356409,OK,12325118
18147200354262945887,OK,16103898
18162874600200365159,OK,16155535
16049925200613093403,OK,14334336
18427042697754042811,OK,16472908
16140844136297321737,OK,14396019
9727883024276173223,OK,8712315
18375672371986336021,OK,16360313
8641437636313586077,OK,8440645
17842031673990342503,OK,15930620
17390721730357274251,OK,15988394
17260148685831914833,OK,15502479
17230766933816583737,OK,15488944
9479374067927902837,OK,8513065
13729110057897274987,OK,12330176
17302672734631539169,OK,15405309
15132888268336518959,OK,14610726
18176387976110049167,OK,16281939
15890855349091239007,OK,14416660
10300839707566789517,OK,9204736
18433247727596659781,OK,16361879
12096691909211868859,OK,12372702
13850633973248571407,OK,12557833
18446181175296393131,OK,16455633
17865988921173752789,OK,15979484
13871467007639736689,OK,12449285
10592473272899669057,OK,12350333
18166558944193915999,OK,16166107
16794679721613160063,OK,15436461
18298439264927906993,OK,16270444
18152140675375512653,OK,16178603
14897241371186438197,OK,14252110
17298057407857846897,OK,15532640
17817667740112340141,OK,15922806
18284892749016693287,OK,16308718
16139933752496738731,OK,14302114
15194225493832277573,OK,14495989
18356890688363854073,OK,16643355
18306364845021536539,OK,16767207
18445371856889995033,OK,16422969
17298055262220243349,OK,15429366
15540486968424572543,OK,14755168
13970250326720879927,OK,12673592
13901531044474624081,OK,12415799
13638066990488627299,OK,12197639
17298045777422383867,OK,15389416
18393305782975367011,OK,16358595
14358578553134460559,OK,12860510
18374798150201298593,OK,16406052
13809212875837652789,OK,12269420
9151870917740821889,OK,8241321
18410575432429112143,OK,16424487
17229915847893895189,OK,15424805
16212691258108783043,OK,14420296
9647129406734796049,OK,8595716
17350051105397616161,OK,15414566
16235764160587040983,OK,14419223
17622376799926928269,OK,15880211
9213346330640486929,OK,8191402
9155612593446396523,OK,8651380
18158784536218681171,OK,16091050
13943365054625438689,OK,12346847
17294121633314701213,OK,15426590
17260113777337030133,OK,15405210
16807908862404021949,OK,15484048
18026020506474536981,OK,16200824
17025552691316824069,OK,15401494
18411667490482202569,OK,16614655
16212477011660818963,OK,14470314
16681527471902331413,OK,14900077
17874778580872865237,OK,15955451
18087751378620173399,OK,16336268
16150052888156441633,OK,14591313
9223127984285905253,OK,8198127
17294816514993813283,OK,15412949
10348240470631507673,OK,9215420
17801265951320171261,OK,15992102
14392694103075534361,OK,12882905
17004588997367483891,OK,15165880
11285606008258779893,OK,12472567
18410717904824653481,OK,16429311
