Numero,Estado,Tiempo de Ejecución (us),Tiempo de Exploración (us),Tiempo de Divisibilidad (us)
167254737528293,OK,25511,1034,167
250160597777689,OK,38268,3386,321
272817786389021,OK,88204,8642,466
273204951552131,OK,2510,341,0
264076256253743,OK,5887,3,49
256501147719209,OK,1522,0,9
280375816749001,OK,42153,37483,142
268143189193409,OK,74214,6559,218
256172670804007,OK,178465,77951,411
162846432324041,OK,5372,22,40
242704777142357,OK,33985,810,235
264145147672837,OK,67205,1838,372
272188915931311,OK,49516,19392,89
279347304554039,OK,80041,49609,200
148373795122297,OK,501,1,1
233410932389023,OK,109926,8846,473
228623138202581,OK,111904,14554,313
191560169816749,OK,56577,1340,320
273640257540371,OK,142441,47173,384
241183547252519,OK,76901,8620,478
263376098657807,OK,2017,1,2
142624092406141,OK,59,0,0
279757391409031,OK,94686,92845,15
155135330680613,OK,24317,304,106
246393110926037,OK,5725,30,82
144307274128253,OK,23161,384,129
212832228282061,OK,13235,394,109
211001397326077,OK,18228,607,161
212097570014299,OK,44595,1177,225
147890671559443,OK,5603,66,93
272679489240971,OK,1761,0,2
211536571255967,OK,33759,547,181
280655702445031,OK,43113,1490,204
278933626629253,OK,112414,94270,39
152950890397831,OK,13270,198,218
222344211242173,OK,29474,10910,44
272941045991641,OK,104695,9833,556
140665547807593,OK,1598,27,11
212234463725897,OK,39398,26269,35
212113796461783,OK,20013,484,51
280653425066431,OK,43077,1294,145
140802357626327,OK,1832,16,63
278186897639423,OK,9424,111,23
243103155604217,OK,47018,1505,191
281474641166387,OK,10237,10223,0
271664634524641,OK,1535,3,18
280401468146203,OK,43348,1121,194
246279525360923,OK,158,1,0
280315970217593,OK,44281,1626,197
219280730607859,OK,92391,32695,211
213175737778123,OK,81490,5711,296
247970311803127,OK,22844,4321,64
247398382407937,OK,114552,12525,326
279350139979541,OK,100021,4774,655
279148340572681,OK,37433,1052,324
207597316176409,OK,136042,34236,356
263013352070401,OK,6831,31,24
211690436893207,OK,34077,891,266
