Numero,Estado,Tiempo de Ejecución (ns)
2658645617,OK,593756
3758347007,OK,883860
2474301457,OK,569662
1356830149,OK,449844
3610153619,OK,837891
3778929629,OK,876827
4031206951,OK,919340
3925613317,OK,937001
3766938431,OK,868488
2280114329,OK,494375
3375869789,OK,767243
1976534167,OK,455576
4162975777,OK,1025640
4008069199,OK,819468
3757796993,OK,731301
2800345693,OK,601665
3046087171,OK,745414
3744013589,OK,1229432
2958079331,OK,643035
3009578419,OK,665961
3347117797,OK,658420
2833262009,OK,612342
3888506821,OK,824977
1915262047,OK,432322
4032513319,OK,1233619
2117273527,OK,537018
3958598071,OK,974877
1201174939,OK,444612
3606965003,OK,768816
4181030587,OK,920147
4165466183,OK,897257
3057252049,OK,713515
3237069041,OK,707126
2915480599,OK,721273
4028716283,OK,878516
2125574929,OK,465953
3101737649,OK,1170855
3693840049,OK,1018090
4270618531,OK,1328767
3251487181,OK,897388
3272721169,OK,766955
3922566191,OK,848457
2609368123,OK,706885
2916210233,OK,647618
2212332509,OK,414203
2403307327,OK,489909
4111865081,OK,916765
4177131769,OK,862109
3349530533,OK,669213
3108456833,OK,647394
3588000799,OK,777854
2039300209,OK,506424
3760709671,OK,811738
4262862697,OK,954083
4037275811,OK,3248107
2937661777,OK,2044544
2025695297,OK,803172
3817857649,OK,922720
3244041557,OK,1011117
2269611847,OK,461540
1668044857,OK,432910
3919436263,OK,979607
4116270671,OK,1117334
3420750901,OK,791755
4017957841,OK,889110
3461320879,OK,774065
1694650549,OK,455070
4073837387,OK,905298
3719291119,OK,868258
2967845893,OK,677415
1907680409,OK,530300
3044198231,OK,799288
2209120163,OK,476892
4145112107,OK,1141807
4230609961,OK,1026636
1951698631,OK,564390
4262337613,OK,1685257
3907797997,OK,920477
2937516787,OK,1281022
2569012223,OK,1012159
3237139291,OK,724731
3162750083,OK,692342
2474385677,OK,545572
2927572589,OK,661665
2802830731,OK,705642
1932009061,OK,435871
3428545919,OK,720134
2023119023,OK,459618
2222160823,OK,402330
3280323461,OK,629200
2551412389,OK,713005
3786140999,OK,1023017
2943688129,OK,798334
3918038801,OK,1176083
2193681653,OK,567780
3873673571,OK,1042458
3798904537,OK,813828
4092376139,OK,813965
1915178633,OK,407449
4269807007,OK,2048090
3737553643,OK,858121
3807275113,OK,764430
2194823167,OK,502519
3611585333,OK,1349406
3200043559,OK,798015
2152642097,OK,471648
3660436519,OK,870908
3910821139,OK,847903
2213507941,OK,578674
3555500407,OK,1020777
3482522629,OK,893023
4168611959,OK,964014
1720665019,OK,428724
1335383453,OK,452413
3904131689,OK,804091
3697294807,OK,741222
4177131769,OK,888736
4132094299,OK,994907
3151762969,OK,750106
2357018953,OK,625563
1730823109,OK,509919
3914220263,OK,918106
3689147699,OK,958804
2529140987,OK,599001
2889646873,OK,708699
2835831601,OK,840703
4197687931,OK,976583
4211860231,OK,946768
2889792559,OK,762181
4032891007,OK,920996
3966200873,OK,812413
4089499423,OK,813166
4052585399,OK,893363
3124865741,OK,717975
4040980897,OK,1162430
3966200873,OK,970192
1759940411,OK,480955
3994500749,OK,867287
2214560767,OK,436103
4230201431,OK,866309
4079138201,OK,799660
2156164771,OK,393276
3213622001,OK,666543
3292835939,OK,815615
3919379341,OK,870129
4271010253,OK,1025060
2967047549,OK,982625
1937314091,OK,490907
4237687957,OK,1381773
3994702183,OK,841002
3947328331,OK,801942
2448343663,OK,489871
3838103453,OK,1126495
3300315331,OK,831537
