Numero,Estado,Tiempo de Ejecución (ns)
167254737528293,OK,45680986
250160597777689,OK,74344367
272817786389021,OK,67172697
273204951552131,OK,67178997
264076256253743,OK,75812696
256501147719209,OK,68214608
280375816749001,OK,75852087
268143189193409,OK,78295820
256172670804007,OK,82451723
162846432324041,OK,55949473
242704777142357,OK,65466634
264145147672837,OK,82969801
272188915931311,OK,95293360
279347304554039,OK,78262697
148373795122297,OK,39919682
233410932389023,OK,77623669
228623138202581,OK,67293429
191560169816749,OK,53673078
273640257540371,OK,72664484
241183547252519,OK,75844896
263376098657807,OK,70368435
142624092406141,OK,38699143
279757391409031,OK,90681909
155135330680613,OK,40749771
246393110926037,OK,65238389
144307274128253,OK,36657961
212832228282061,OK,67112186
211001397326077,OK,72200215
212097570014299,OK,66061041
147890671559443,OK,35311323
272679489240971,OK,71365275
211536571255967,OK,54611911
280655702445031,OK,72771492
278933626629253,OK,78469445
152950890397831,OK,57870092
222344211242173,OK,73998431
272941045991641,OK,66063972
140665547807593,OK,38399921
212234463725897,OK,66342195
212113796461783,OK,51001211
280653425066431,OK,71067671
140802357626327,OK,35306947
278186897639423,OK,75446139
243103155604217,OK,67442144
281474641166387,OK,85952523
271664634524641,OK,67378868
280401468146203,OK,82529437
246279525360923,OK,81701187
280315970217593,OK,69132919
219280730607859,OK,61010829
213175737778123,OK,61182976
247970311803127,OK,64893187
247398382407937,OK,59452001
279350139979541,OK,74328520
279148340572681,OK,70663490
207597316176409,OK,53899848
263013352070401,OK,69369030
211690436893207,OK,54723104
246298060558013,OK,63618400
260393199967163,OK,76647222
239925947924011,OK,62707250
262349881016591,OK,72010952
273152888470963,OK,69825850
143935186255039,OK,36316305
281406391463903,OK,84029681
281436490297097,OK,71319986
148121032436639,OK,42851382
163288421938571,OK,72183064
281472963445087,OK,90510711
133079062292591,OK,36725317
142607969669897,OK,34642338
263874602245291,OK,75252208
145410143953037,OK,41254563
279412220093317,OK,90353441
255793016256787,OK,71147220
208771149431203,OK,57757049
259753223683781,OK,78791071
278742179808823,OK,82980596
277592374405121,OK,72603384
273599558112557,OK,66742719
221975991262477,OK,74446868
172145702197817,OK,45805352
281338409820547,OK,77703723
260603829702257,OK,66385257
244826907552901,OK,70173180
227846354095067,OK,56752731
231815125594889,OK,74359030
141562978634111,OK,36710678
281406156640069,OK,89135627
281193094125821,OK,80477518
186176722293871,OK,52307656
272481269009857,OK,67135732
244685452161971,OK,93865850
245958056408503,OK,73657723
276882257998391,OK,74901252
274825635876299,OK,69782945
232813709834711,OK,61849782
263820170591071,OK,70938490
281407163027929,OK,79264377
139634829816367,OK,49309073
246772056455933,OK,58993267
267967689339923,OK,91592108
276845489710931,OK,78835422
211610353231429,OK,53303957
272723296155839,OK,64830956
260797212504683,OK,68625808
262886873864591,OK,72659333
248725387153939,OK,69477854
147627133593493,OK,38747272
244436898112129,OK,65684037
210621694532017,OK,63440785
241415950187693,OK,64133054
276468711862699,OK,66180428
280277941731629,OK,75312053
163880968241083,OK,49358266
277198089012557,OK,71350413
280392745808869,OK,72974142
280381193788469,OK,76729713
272683755641317,OK,72024938
277210444047029,OK,66271176
281344751624449,OK,72527223
264148170620101,OK,64101196
281303412930509,OK,75087801
208171363000243,OK,50219988
210288113111029,OK,54029875
279345003015203,OK,85086546
274843680106663,OK,66662656
143834901338299,OK,37074032
147224457969731,OK,40863279
153834820923331,OK,39550992
280646288668961,OK,78358257
144950543214563,OK,37192623
280384626547357,OK,77405893
272208046282369,OK,71461668
245445831777689,OK,60969279
279280215260413,OK,70065902
274395382424711,OK,75657915
246904799168143,OK,67099955
206307498062411,OK,67389400
280926125457881,OK,79402270
264617496534773,OK,63228812
92930687772401,OK,37272295
211315063268693,OK,78406950
280925422779923,OK,80791610
204543313394561,OK,53539921
277557690467819,OK,73931780
144638954932123,OK,37887035
280917284964101,OK,81338633
280857004331129,OK,77898569
205477889863123,OK,59130351
139019695945891,OK,35285639
271154015317447,OK,88758295
206070290884769,OK,61047682
252943551224437,OK,63180694
228421916581427,OK,58119084
280383651276997,OK,66307781
246309219041183,OK,65558468
141012357824509,OK,45255401
273210450475969,OK,80733041
215190162919867,OK,58973171
279420260838457,OK,99896660
279823371963011,OK,72248493
241561115793461,OK,70090300
280110844637971,OK,69383559
279014301690517,OK,72347828
245474469676411,OK,73492545
216312918540217,OK,58969094
272814239622523,OK,72070101
271997766442877,OK,76627162
281063967826469,OK,90190607
200162306012969,OK,71749506
212754301354951,OK,67750034
262370143467373,OK,86482884
281458836985649,OK,84293330
210284991677731,OK,57627217
173483403195623,OK,49958369
259779732953347,OK,81806558
166230974427877,OK,48860702
246895019739763,OK,69021028
140495187595783,OK,35434579
266738557697837,OK,70720262
205521144787837,OK,60362205
206147668512659,OK,50540227
265817339777449,OK,74170457
141300272706947,OK,36126385
117555828129919,OK,43711448
202399887209437,OK,53807116
266163922612909,OK,66384677
264695388141127,OK,95868134
198373298011927,OK,62893765
174653964042379,OK,69620382
272726556656599,OK,86727113
275541687036893,OK,77376557
241399019456437,OK,72934104
279292430892457,OK,80582427
237725069049361,OK,95231948
281196848186173,OK,77368212
280926528503869,OK,84720595
196125092670307,OK,71183914
210728958388891,OK,57866906
248318121778703,OK,74822573
149520988506311,OK,37350967
246402351650933,OK,71737905
246265352245711,OK,75255723
272949488940203,OK,71936701
281475647799167,OK,84695516
255193506100573,OK,73763153
144317052127271,OK,47042348
188554591410481,OK,59319951
247580150770111,OK,80929013
191695234946219,OK,64738517
142871735132983,OK,47934905
144053817628901,OK,77077263
148240662515317,OK,44201918
269518558550387,OK,69341784
281338409820547,OK,78459150
268148381936233,OK,85257932
277179554280869,OK,81637855
273188821468657,OK,85569614
281407163272009,OK,68859526
266055040242347,OK,64104856
242562182758267,OK,63216701
277707121168913,OK,84288525
107398484618003,OK,35714877
252060722029177,OK,84518636
242616395030407,OK,81695727
107127424472231,OK,36172172
279957776953277,OK,77103689
171523894673413,OK,56741293
277632822311597,OK,76776919
281474641163627,OK,100366929
280128609643469,OK,77231384
272947717124239,OK,75970655
136374314979473,OK,37074623
266721980787739,OK,77649786
270810634199321,OK,77020937
245344752958429,OK,67945474
241516860829081,OK,66940123
281252321828239,OK,85313686
133531571744941,OK,35802379
276259810120621,OK,75651605
281148945077123,OK,79605353
272680236877453,OK,67881876
272984614497157,OK,76991988
249931501549781,OK,63621966
252932250757541,OK,62549107
200533629934147,OK,50000542
201992563193111,OK,51153633
273812534087363,OK,72945059
141150434234791,OK,39763358
177798227729401,OK,53073932
212836248120641,OK,75508792
145727045516839,OK,48348998
219557807183027,OK,65318789
261326558042393,OK,83929517
263819226870211,OK,78478475
