Numero,Estado,Tiempo de Ejecución (ns),Tiempo de Exploración (ns),Tiempo de Divisibilidad (ns)
167254737528293,OK,22169523,9239586,7026804
250160597777689,OK,36905885,19522256,8326878
272817786389021,OK,87996241,48445573,18451066
273204951552131,OK,2517519,1540289,439001
264076256253743,OK,6197921,2269682,2185699
256501147719209,OK,2132850,701556,869067
280375816749001,OK,43392741,41745820,645311
268143189193409,OK,73887765,39957638,15942467
256172670804007,OK,172329066,128482625,19443572
162846432324041,OK,5246367,2047307,1796869
242704777142357,OK,35537778,15101089,11073323
264145147672837,OK,65756326,30660571,17137811
272188915931311,OK,48566785,36347023,5325112
279347304554039,OK,80993016,69263407,4776758
148373795122297,OK,524903,190615,190161
233410932389023,OK,108882011,57227486,24964223
228623138202581,OK,115176946,66302975,23229835
191560169816749,OK,57652950,26374400,16095011
273640257540371,OK,144272735,102017216,18557740
241183547252519,OK,80258596,44857829,16610585
263376098657807,OK,2285390,803206,865044
142624092406141,OK,64775,19942,30179
279757391409031,OK,94137001,93559151,227882
155135330680613,OK,25533809,11356562,7734408
246393110926037,OK,5012662,1853377,1764207
144307274128253,OK,24102614,10730700,7354428
212832228282061,OK,12517386,4955788,4098626
211001397326077,OK,15689761,6975281,4500394
212097570014299,OK,45981402,20088253,13011171
147890671559443,OK,5818922,2252796,2028009
272679489240971,OK,1845113,690455,651342
211536571255967,OK,33921079,14795341,9935972
280655702445031,OK,41355701,20043543,10416679
278933626629253,OK,108615791,102581251,2447452
152950890397831,OK,12667130,5445691,3949297
222344211242173,OK,31595161,23200619,3865677
272941045991641,OK,103956967,57557678,21564495
140665547807593,OK,1507344,547723,538490
212234463725897,OK,39222550,34491634,2132971
212113796461783,OK,20047823,8873947,5682443
280653425066431,OK,43194310,20040237,11371674
140802357626327,OK,1722026,567154,727749
278186897639423,OK,9742718,4095765,2886488
243103155604217,OK,46835638,21729895,12340758
281474641166387,OK,9457486,9452411,1399
271664634524641,OK,1446611,554933,473977
280401468146203,OK,45169782,20683346,12077932
246279525360923,OK,135391,38936,62338
280315970217593,OK,44127494,21242535,11005986
219280730607859,OK,92572594,67922313,11470254
213175737778123,OK,80766884,42011221,18930088
247970311803127,OK,23875898,15112209,4075449
247398382407937,OK,113583775,64375157,23030593
279350139979541,OK,97715080,49483228,22919399
279148340572681,OK,33984824,14041686,10266675
207597316176409,OK,135590806,91659127,20773936
263013352070401,OK,6634745,2517742,2266087
211690436893207,OK,33191207,15258250,9112073
246298060558013,OK,94153153,75741313,8128985
